Content,Video title,Video publish time,Duration,Engaged views,Average view duration,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Unique reach,Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Clicks per end screen element shown (%),End screen elements shown,End screen element clicks,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Comments added,Shares,YouTube Premium views,YouTube Premium watch time (hours),Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,222652,0:00:24,81.5,72.61,180399,229171,1.1325,154987,880,880,0,0,0,0,0,0,525,77,7227,0,100,126,42,44045,202.2186,366632,1576.8093,448,97850,3.43
SS_Whsrltyw,Marvel & DC Terms You've Been Mixing Up 😳 #marvel #dc #shorts,"Aug 7, 2026",35,15744,0:00:26,76.15,75.03,15210,18706,1.0197,14381,506,506,0,,0,0,0,0,49,0,644,0,100,7,4,2997,15.4891,24803,118.5058,49,7430,2.33
fUDVc6_tkJA,Same Powers? Not Even Close. 🤯 #dc #superman #shazam #knowthedifference,"Aug 4, 2026",30,15698,0:00:24,82.29,77.05,15431,18776,1.0133,13603,1767,1767,0,,0,0,0,0,40,1,626,0,100,3,3,2180,9.7979,25005,109.7405,39,3075,3.8
AHhNLTkpLPA,Venom's worst nightmare : Carnage #marvel #venom  #didyouknow,"Aug 2, 2026",34,15618,0:00:27,81.47,75.55,15182,18555,1.0272,14041,1128,1128,0,,0,0,0,0,54,1,836,0,100,6,1,2233,13.5467,24034,122.3903,53,10158,2.32
-06ueSETfi4,What Makes Adamantium So Deadly? #wolverine #marvel #shorts,"Aug 6, 2026",31,15451,0:00:27,88.49,78,14891,17945,1.0343,13929,901,901,0,,0,0,0,0,49,0,637,0,100,5,0,2867,14.8565,24575,119.4033,49,6831,4
D0EDxytksrQ,JJK Terms You've Been Mixing Up This Whole Time #jujutsukaisen  #jjk  #anime,"Aug 8, 2026",34,14542,0:00:28,84.04,80.62,13887,16160,1.0359,11014,335,335,0,,0,0,0,0,27,3,250,0,100,14,12,1119,4.9407,24543,116.7753,24,2855,3.29
Zev_GbVoGeM,Why Thor Can NEVER Beat Odin #shorts #marvel,"Aug 3, 2026",34,13836,0:00:28,82.88,71.92,13331,17064,1.0358,11901,1405,1405,0,,0,0,0,0,42,1,655,0,100,7,4,3252,19.0024,22714,110.6443,41,4290,2.75
u6OIzy_lbyg,One Metal Powers Thor’s Hammer. The Other Powers Wakanda. #marvel  #mcu  #shorts,"Aug 9, 2026",29,12790,0:00:25,86.76,73.17,11877,15058,1.0237,3075,549,549,0,,0,0,0,0,18,0,428,0,100,8,1,3613,14.8376,22039,91.2665,18,2165,3.83
CBDap7yiRPM,Red Hulk Is NOT Just a Red Hulk… Here’s Why     #hulk #redhulk #marvel,"Aug 12, 2026",23,11955,0:00:21,92.97,72.74,0,0,,,,,,,,,,,27,2,353,0,100,2,1,0,0,19529,73.121,25,2950,3.39
K9aY42W4XsU,"Why Vision Is a New Life Form, Not JARVIS #marvel #mcu #shorts","Aug 4, 2026",30,11806,0:00:24,81.85,68.56,11663,15662,1.0102,9945,1684,1684,0,,0,0,0,0,9,0,331,0,100,0,1,3604,14.4814,20584,82.7352,9,3271,4.74
cEHQHIzyqgQ,Loki vs Variant: Who is the real one? #loki #mcu #shorts,"Jul 31, 2026",27,11080,0:00:23,87.54,76.23,10985,13431,1.0066,10217,756,756,0,,0,0,0,0,6,0,229,0,100,6,1,3331,15.4508,17152,73.99,6,11254,3.27
G9vn9G7MvwY,Why the Darkhold is more dangerous than the Infinity Stones #marvel #shorts,"Aug 9, 2026",30,10486,0:00:27,91.4,77.47,9703,11737,1.0211,1352,462,462,0,,0,0,0,0,17,2,375,0,100,4,2,3338,17.1472,17608,81.1338,15,1823,4.11
vGQmC18RlOg,Hero vs Anti-Hero: What's the Real Difference?,"Jul 27, 2026",33,9522,0:00:24,75.36,64.43,9340,13334,1.0184,9174,157,157,0,,0,0,0,0,15,0,193,0,100,12,1,2338,10.3778,15980,68.3132,15,1049,4.96
dZdDrpmsX1s,Which Gauntlet Was Actually Stronger? #facts #marvel #didyouknow,"Aug 2, 2026",25,8324,0:00:20,80.46,73.42,8160,10530,1.0175,6656,1495,1495,0,,0,0,0,0,10,0,178,0,100,1,0,1901,6.294,14580,47.7046,10,3198,3.19
fhw7mCQmgxY,This Is Why Strange Couldn't Stop Wanda #drstrange #wanda  #marvel,"Aug 3, 2026",24,6890,0:00:19,80.48,67.34,6697,9225,1.0261,5165,1521,1521,0,,0,0,0,0,13,2,142,0,100,6,1,1844,5.95,12043,38.4331,11,1748,16.08
TNz-tzRiWik,99% of Marvel Fans Get This Wrong 🤯 #marvel #facts #didyouknow #mcu,"Jul 31, 2026",28,6562,0:00:23,83.64,74.64,6391,8022,1.0243,5341,1044,1044,0,,0,0,0,0,7,1,145,0,100,5,1,1499,7.4161,10161,43.6545,6,2361,1.86
Rwyjn7EEnIo,Homelander Is NOT an Evil Superman #shorts #homelander #superman,"Aug 8, 2026",33,6146,0:00:26,79.91,70.51,5909,7752,1.0301,4092,323,323,0,,0,0,0,0,9,0,196,0,100,7,0,1326,5.6934,10467,46.1343,9,4054,3.97
SlpjrmcaAZ8,Mjolnir vs Stormbreaker: The Difference Explained,"Jul 28, 2026",34,5170,0:00:23,68.12,66.84,5054,7019,1.0212,4725,328,328,0,,0,0,0,0,2,0,77,0,100,1,2,1039,4.6319,8103,34.3456,2,652,4.6
TVWSUEcrzaM,You've been wrong about Dragons your whole life #mythology #facts #shorts,"Aug 1, 2026",25,4765,0:00:19,78.77,65.49,4673,6569,1.0165,4087,581,581,0,,0,0,0,0,3,0,79,0,100,15,0,1441,4.6038,8173,27.1355,3,1744,2.35
jR5hI0qntZw,Why Batman's Suit Beats Iron Man's #mcu #hulkbuster #batman,"Aug 10, 2026",22,4344,0:00:21,95.49,69.86,2369,3265,1.0355,,,,,,0,0,0,0,9,0,124,0,100,2,0,418,1.2714,7337,26.1603,9,1140,4.12
OuPpJLiexhY,Dracula Is NOT Just a Vampire #shorts  #dracula #vampire,"Jul 30, 2026",22,2978,0:00:17,80.89,65.76,2826,3890,1.0478,2445,374,374,0,,0,0,0,0,7,0,81,0,100,2,0,598,1.7854,4976,15.2229,7,10173,2.02
zT22g_APRpM,Unlimited Void vs Malevolent Shrine: Which is deadlier? #jjk #gojo #sukuna,"Aug 11, 2026",26,2310,0:00:22,86.48,72.97,1352,1764,1.0399,,,,,,0,0,0,0,5,1,77,0,100,7,1,114,0.3597,4000,14.7937,4,1881,5.58
GgtsT0ajNDw,Why Deadpool Heals Faster Than Wolverine? #shorts #deadpool  #wolverine,"Aug 10, 2026",23,2279,0:00:19,83.73,69.45,1567,2118,1.0319,472,67,67,0,,0,0,0,0,2,0,79,0,100,1,0,407,1.0127,4486,12.6425,2,2855,2.8
SSWi3LdD7Rw,You Still Don't Know the Difference... 👀 #naruto #shorts #sharingan,"Aug 6, 2026",38,2189,0:00:22,59.14,69.05,2125,2854,1.0155,1856,220,220,0,,0,0,0,0,6,0,54,0,100,3,0,147,0.5787,3238,14.0093,6,1593,3.89
qG8SMt2OyOY,What's the difference?,"Jul 28, 2026",40,2149,0:00:26,65.4,65.24,2073,2912,1.0314,1848,221,221,0,,0,0,0,0,12,0,62,0,100,1,0,318,1.3916,3460,16.0747,12,655,1.83
 -OorOvEMOdA,Why War Machine Can NEVER Beat Iron Man 1v1 #ironman #warmachine #marvel,"Aug 11, 2026",42,2039,0:00:27,64.43,71.62,1334,1787,1.027,,,,,,0,0,0,0,1,0,74,0,100,1,1,334,1.5675,3242,15.6671,1,2419,5.37
DcwyALZOaKk,CGI vs VFX: Everyone Gets This Wrong,"Aug 2, 2026",29,1889,0:00:18,64.08,73.38,1834,2296,1.0191,1363,466,466,0,,0,0,0,0,11,0,67,0,100,4,0,272,1.0591,2634,10.0143,11,1488,4.03
xmNmJtdJtpc,Protagonist vs Antagonist: The Twist Nobody Tells You,"Jul 26, 2026",37,1717,0:00:24,65.11,56.31,1675,2595,1.0203,1537,129,129,0,,0,0,0,0,5,1,58,0,100,2,1,453,3.0216,3134,12.0746,4,644,3.11
endGwxK9o7I,Is Doctor Doom actually better than Iron Man? 🧐 #marvel #avengers,"Jul 29, 2026",45,1360,0:00:39,87.3,59.36,1307,2030,1.0268,939,365,365,0,,0,0,0,0,0,0,48,0,100,3,0,420,3.1013,2651,15.1876,0,678,3.54
24D9j5PVxpk,Why Poseidon Is the Only God Zeus Fears #mythology #shorts,"Aug 7, 2026",27,955,0:00:20,74.18,64.88,887,1287,1.0248,541,309,309,0,,0,0,0,0,3,0,64,0,100,0,1,179,0.6188,1695,5.5082,3,1159,2.16
