Geography,Average percentage viewed (%),Subscribers,Engaged views,Stayed to watch (%),Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,Views,Watch time (hours),Average view duration
Total,81.5,448,222654,72.61,525,77,7227,0,100,42,126,366744,1576.8782,0:00:24
GY,154.63,0,36,83.72,0,0,0,0,,0,0,59,0.5019,0:00:49
PT,128.56,0,299,71.88,0,0,0,0,,0,0,495,3.3322,0:00:39
GD,111.98,0,23,71.88,0,0,0,0,,0,0,42,0.2326,0:00:35
GR,109.93,0,761,74.1,0,0,0,0,,0,0,1260,7.2755,0:00:33
AF,101.08,0,17,70.83,0,0,0,0,,0,0,31,0.1531,0:00:31
TZ,97.1,0,48,85.71,0,0,0,0,,0,0,73,0.4043,0:00:30
SB,96.46,0,16,76.19,0,0,0,0,,0,0,19,0.1444,0:00:32
VI,92.6,0,20,90.91,0,0,0,0,,0,0,34,0.1729,0:00:30
PG,92.22,0,27,71.05,0,0,0,0,,0,0,50,0.2155,0:00:28
SI,91.73,0,67,71.28,0,0,0,0,,0,0,120,0.5009,0:00:26
BN,91.45,0,73,76.04,0,0,0,0,,0,0,127,0.5902,0:00:28
MY,90.01,0,3299,73.93,0,0,94,0,100,0,0,5586,26.3425,0:00:28
KH,87.71,0,297,73.7,0,0,0,0,,0,0,520,2.2831,0:00:27
HU,87.58,0,695,73.54,0,0,0,0,,0,0,1120,5.2275,0:00:26
DO,87.47,0,10,52.63,0,0,0,0,,0,0,22,0.0885,0:00:30
ZM,87.29,0,107,79.26,0,0,0,0,,0,0,180,0.8654,0:00:26
JM,86.92,0,138,77.84,0,0,0,0,,0,0,228,1.0942,0:00:28
TT,86.64,0,154,74.04,0,0,0,0,,0,0,263,1.2087,0:00:27
ID,86.55,0,4378,72.64,0,0,65,0,100,0,0,7404,33.9439,0:00:27
EG,86.28,0,721,76.87,0,0,0,0,,0,0,1149,5.4999,0:00:26
ME,85.81,0,11,73.33,0,0,0,0,,0,0,19,0.0858,0:00:27
MM,85.39,0,504,77.35,0,0,0,0,,0,0,813,3.7956,0:00:26
PH,85.29,11,14181,74.97,11,0,347,0,100,0,0,23606,107.4167,0:00:26
DK,85.08,0,667,74.16,0,0,0,0,,0,0,1063,4.8572,0:00:25
US,84.93,11,37724,72.24,11,0,1070,0,100,0,0,61631,286.3666,0:00:26
DE,84,0,4846,74,0,0,37,0,100,0,0,7779,34.94,0:00:25
LT,83.65,0,142,78.45,0,0,0,0,,0,0,228,1.0216,0:00:25
MW,83.58,0,13,68.42,0,0,0,0,,0,0,22,0.094,0:00:25
HK,83.44,0,462,72.76,0,0,0,0,,0,0,764,3.3729,0:00:25
SG,83.37,0,1095,70.35,0,0,0,0,,0,0,1880,7.9389,0:00:25
NL,82.97,0,1971,70.12,0,0,0,0,,0,0,3379,13.3708,0:00:23
BH,82.86,0,21,77.78,0,0,0,0,,0,0,35,0.1445,0:00:24
QA,82.83,0,92,70.23,0,0,0,0,,0,0,160,0.6517,0:00:24
SE,82.83,0,1237,75.61,0,0,0,0,,0,0,1997,8.8615,0:00:25
NP,82.77,0,1678,72.4,0,0,12,0,100,0,0,2782,12.3606,0:00:25
NO,82.59,0,690,76.05,0,0,0,0,,0,0,1109,4.9129,0:00:25
NG,82.25,0,1076,77.69,0,0,33,0,100,0,0,1729,7.8431,0:00:25
MN,82.21,0,597,73.61,0,0,0,0,,0,0,1014,4.378,0:00:25
IE,82.09,0,603,72.56,0,0,0,0,,0,0,1009,4.346,0:00:25
GE,81.8,0,228,75.33,0,0,0,0,,0,0,391,1.6327,0:00:25
KR,81.71,0,123,73.05,0,0,0,0,,0,0,215,0.8737,0:00:25
GH,81.7,0,308,78.77,0,0,0,0,,0,0,476,2.2661,0:00:26
SY,81.27,0,46,85.19,0,0,0,0,,0,0,69,0.339,0:00:26
PR,81.03,0,133,76.44,0,0,0,0,,0,0,220,0.9786,0:00:26
TR,81,0,1136,76.5,0,0,0,0,,0,0,1832,8.1579,0:00:25
JP,80.97,0,384,73.42,0,0,0,0,,0,0,639,2.7462,0:00:25
CA,80.95,0,4189,71.48,0,0,38,0,100,0,0,6865,30.0645,0:00:25
KW,80.6,0,179,78.51,0,0,0,0,,0,0,284,1.2622,0:00:25
TH,80.39,0,1053,70.81,0,0,10,0,100,0,0,1799,7.5977,0:00:25
FI,80.24,0,512,72.01,0,0,0,0,,0,0,878,3.6023,0:00:24
RO,80.21,0,1318,73.26,0,0,26,0,100,0,0,2193,9.3356,0:00:24
CZ,80.15,0,965,73.25,0,0,0,0,,0,0,1565,6.6151,0:00:24
AU,80,0,3701,73.76,0,0,27,0,100,0,0,5838,25.9543,0:00:24
GB,79.96,0,7479,73.87,0,0,173,0,100,0,0,12101,52.9263,0:00:25
IT,79.95,0,1729,75.05,0,0,60,0,100,0,0,2860,12.1403,0:00:24
NZ,79.79,0,722,74.9,0,0,0,0,,0,0,1170,5.0486,0:00:24
VN,79.69,0,573,70.22,0,0,0,0,,0,0,965,4.103,0:00:25
CN,79.55,0,23,74.19,0,0,0,0,,0,0,38,0.1646,0:00:25
ZW,79.51,0,93,79.49,0,0,0,0,,0,0,145,0.6658,0:00:25
SK,79.49,0,351,73.43,0,0,0,0,,0,0,583,2.4227,0:00:24
LV,79.37,0,82,71.3,0,0,0,0,,0,0,138,0.5752,0:00:24
MU,79.1,0,79,80.61,0,0,0,0,,0,0,122,0.5399,0:00:24
