Traffic source,Engaged views,Average percentage viewed (%),Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
Total,222654,81.5,366744,1576.8782,0:00:24,97850,3.43
Shorts feed,202658,81.62,333020,1438.6299,0:00:24,,
YouTube search,10802,71.05,17514,64.9504,0:00:21,74685,2.73
Channel pages,5760,90.16,10146,46.384,0:00:28,18020,6
Other YouTube features,2972,94.66,4980,23.7982,0:00:28,,
Browse features,262,70.46,362,1.5637,0:00:21,2888,7.31
Suggested videos,31,51.34,33,0.1449,0:00:16,1662,0.84
Sound pages,30,86.26,46,0.2199,0:00:26,,
Notifications,24,86.03,53,0.1813,0:00:26,,
Playlists,23,50.03,27,0.1033,0:00:16,595,2.35
External,22,92.22,31,0.1809,0:00:29,,
Direct or unknown,9,50.67,9,0.0419,0:00:16,,
Hashtag pages,8,69.27,11,0.0479,0:00:21,,
Related Shorts,5,74.92,8,0.0363,0:00:25,,
Remixed video,1,50,1,0.0047,0:00:17,,
